chartID,questions
average_sales_histogram,How does our market share compare to competitors?
average_sales_histogram,Are there emerging market opportunities?
sankey,What external factors influence sales?
pie_chart_sales_type,How do we perform against industry sectors?
sankey,Can we analyze the competitive landscape?
sankey,What barriers exist in specific markets?
pie_chart_sales_type,Do cultural differences impact purchasing?
pie_chart_sales_type,Are there regulatory challenges affecting sales?
brand,How does brand perception compare to competitors?
brand,What partnerships can enhance competitiveness?
stacked_bar,Customer acquisition cost?
average_sales_histogram,Lead generation trends?
pie_chart_sales_type,High-acquisition channels?
pie_chart_sales_type,Referral program effectiveness?
pie_chart_sales_type,Strategies to increase customer referrals?
stacked_bar,Who are the top customers in terms of sales?
stacked_bar,How does sales vary by customer type?
sankey,Any trends in purchasing behavior among individual customers?
customer_type,What's the distribution of sales across different customer types?
customer_type,How do repeat customers contribute to overall sales?
customer_type,Any loyal customers making consistent high-value purchases?
average_sales_histogram,What's the average sales volume per customer type?
sunburst,Correlations between customer demographics and purchasing patterns?
customer_type,How does customer satisfaction impact repeat sales?
customer_type,What percentage of sales comes from corporate clients versus individuals?
customer_type,Who are the top 10 customers in terms of sales?
customer_type,"How does sales vary between different customer types (e.g., individual, corporate)?"
customer_type,What are the recent trends in purchasing behavior among individual customers?
pie_chart_sales_type,Can we analyze the distribution of sales across different customer types?
customer_type,How do repeat customers contribute to overall sales?
customer_type,Are there any loyal customers who consistently make high-value purchases?
average_sales_histogram,What is the average sales volume per customer type?
sunburst,"Are there any correlations between customer demographics (age, gender, income) and purchasing patterns?"
sunburst,How does customer satisfaction impact repeat sales?
customer_type,What percentage of sales comes from corporate clients versus individual customers?
stacked_bar,Top customer sales analysis?
sankey,Sales by customer type?
customer_type,Trends in customer purchases?
customer_type,Sales per customer type?
customer_type,Repeat customers' contributions?
average_sales_histogram,Loyal customers' purchasing habits?
sunburst,Average sales volume analysis?
customer_type,Demographics and purchasing patterns?
customer_type,Satisfaction impact on sales?
customer_type,Corporate versus individual sales?
customer_type,What insights do top customer sales offer?
customer_type,How do sales vary among customer types?
pie_chart_sales_type,Any notable trends in customer purchases?
customer_type,Can we analyze sales per customer type?
customer_type,How do repeat customers impact sales?
customer_type,Do loyal customers exhibit consistent buying habits?
customer_type,What's the average sales volume across customer types?
customer_type,Are there correlations between demographics and purchases?
customer_type,How does satisfaction influence sales?
customer_type,What's the distribution between corporate and individual sales?
sunburst,How often do customers make repeat purchases?
sunburst,Correlations between satisfaction ratings and sales?
customer_type,Factors influencing customer churn rates?
stacked_bar,Correlations between feedback and sales?
